NAME,SMILES
np213,[H][C@@]12C[C@H](O)C[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2CC(O)=CC(=O)[C@]12C
np214,COC(=O)CC(C)=O
np215,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])[C@@H](O)[C@@H](O)CC[C@]12C
np216,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)[C@H](O)C[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C
np217,[H][C@@]12C[C@H](O)C(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3
np218,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C
np219,[H][C@@]12C[C@@H](O)[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C
np220,[H][C@@]12C[C@H](O)[C@@H](O)C[C@]1(C)C1C[C@H](O)[C@]3(C)C(CCC3C1[C@H](O)C2)[C@@H](C)CCC(O)=O
np221,CC[C@@H](C)[C@@H](O)C(O)=O
np222,OCC(O)C1=CC(O)=C(O)C=C1
np223,[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(CO)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C
np224,[H][C@@]12CCC([C@@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])[C@@H](O)[C@H](O)CC[C@]12C
np225,OC(CCCC(O)=O)C(O)=O
np226,C[C@]12CCC3C(CC=C4C[C@@H](O)CC[C@]34C)C1CC(=O)[C@@H]2O
np227,NC1CCCNC1=O
np228,[H][C@@]12C[C@@H](O)C[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2CC(O)=CC(=O)[C@]12C
np229,OC(CCCCC(O)=O)CC(O)=O
np230,C[C@H](CCC(O)=O)C1CCC2C3CCC4C[C@H](O)C[C@@H](O)[C@]4(C)C3C[C@H](O)[C@]12C
